ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Alive or not,Basis of measurement,Biota species name (in Latin),Distance from the river source (km),Fat content (% of total wet matter),"Name of river, estuary, lake, reservoir, sea",Number of orgnanisms,Origin of biota,Proxy pressures,River basin name,Size (mm),Species group,Tissue,Water content(%),Weight (kg),field_country,matrix,Type of Surface water,Surface water fraction,Surface of the area (km^2),SPM concentration (mg/L),Depth (m),pH,Temperature (°C),Dissolved organic carbon (mg/L),"Name of river, estuary, lake, reservoir or sea",Type of sampling depth,Name of surface water (river/estuary/lake/reservoir/sea),Sediment Fraction,Origin of Sediment,Sediment Type,Sludge total organic carbon (% of total dry weight)
21808,EMBLAS-II (Survey 2017),Real Sample,Seawater A-1',"Sat, 08/26/2017 - 22:00","Sat, 07/22/2017 - 22:00",10,Tulcea,Romania,45.175,29.37,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Black Sea,,,,,,
21809,EMBLAS-II (Survey 2017),Real Sample,Seawater A-1,"Sat, 08/26/2017 - 22:00","Sat, 07/22/2017 - 22:00",10,Tulcea,Romania,45.13869,29.16975,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Black Sea,,,,,,
21810,EMBLAS-II (Survey 2017),Blank Sample,Seawater Procedural Blank for JOSS 05+08+09 at different depths,"Sat, 09/02/2017 - 22:00","Sat, 07/29/2017 - 22:00",11,Batumi,Georgia,42.23916,39.88277,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,127.6,,,,Black Sea,,,,,,
21811,EMBLAS-II (Survey 2017),Real Sample,Seawater JOSS09 at 127.6m,"Sat, 09/02/2017 - 22:00","Sat, 07/29/2017 - 22:00",11,Batumi,Georgia,42.23916,39.88277,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,127.6,,,,Black Sea,,,,,,
21812,EMBLAS-II (Survey 2017),Real Sample,Seawater JOSS09 at 24m,"Sat, 09/02/2017 - 22:00","Sat, 07/29/2017 - 22:00",11,Batumi,Georgia,42.23916,39.88277,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,24.0,,,,Black Sea,,,,,,
21813,EMBLAS-II (Survey 2017),Real Sample,Seawater JOSS09 at 0m,"Sat, 09/02/2017 - 22:00","Sat, 07/29/2017 - 22:00",11,Batumi,Georgia,42.23916,39.88277,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Black Sea,,,,,,
21814,EMBLAS-II (Survey 2017),Real Sample,Seawater JOSS08 at 72.7m,"Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",11,Odesa,Ukraine,43.52027,36.0595,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,72.7,,,,Black Sea,,,,,,
21815,EMBLAS-II (Survey 2017),Real Sample,Seawater JOSS08 at 32m,"Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",11,Odesa,Ukraine,43.52027,36.0595,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,32.0,,,,Black Sea,,,,,,
21816,EMBLAS-II (Survey 2017),Real Sample,Seawater JOSS08 at 0m,"Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",11,Odesa,Ukraine,43.52027,36.0595,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Black Sea,,,,,,
21817,EMBLAS-II (Survey 2017),Real Sample,Seawater JOSS05 at 91m,"Wed, 08/30/2017 - 22:00","Wed, 07/26/2017 - 22:00",11,Odesa,Ukraine,43.39608,31.81213,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,91.0,,,,Black Sea,,,,,,
21818,EMBLAS-II (Survey 2017),Real Sample,Seawater JOSS05 at 30m,"Wed, 08/30/2017 - 22:00","Wed, 07/26/2017 - 22:00",11,Odesa,Ukraine,43.39608,31.81213,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,30.0,,,,Black Sea,,,,,,
21819,EMBLAS-II (Survey 2017),Real Sample,Seawater JOSS05 at 0m,"Wed, 08/30/2017 - 22:00","Wed, 07/26/2017 - 22:00",11,Odesa,Ukraine,43.39608,31.81213,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Black Sea,,,,,,
21826,EMBLAS-II (Survey 2017),Real Sample,Seawater C-1,"Sat, 08/26/2017 - 22:00","Sat, 07/22/2017 - 22:00",11,Tulcea,Romania,45.345,29.85611,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Black Sea,,,,,,
21827,EMBLAS-II (Survey 2017),Real Sample,Seawater CW05,"Wed, 09/06/2017 - 22:00","Wed, 08/02/2017 - 22:00",11,Odesa,Ukraine,46.06893,30.46383,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Black Sea,,,,,,
21828,EMBLAS-II (Survey 2017),Real Sample,Seawater CW08,"Wed, 09/06/2017 - 22:00","Wed, 08/02/2017 - 22:00",11,Odesa,Ukraine,46.06893,31.17138,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Black Sea,,,,,,
21829,EMBLAS-II (Survey 2017),Real Sample,Seawater CW07,"Wed, 09/06/2017 - 22:00","Wed, 08/02/2017 - 22:00",11,Odesa,Ukraine,46.55345,30.76923,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Black Sea,,,,,,
21830,EMBLAS-II (Survey 2017),Real Sample,Seawater GE03,"Sun, 09/03/2017 - 22:00","Sun, 07/30/2017 - 22:00",11,Batumi,Georgia,41.69176,41.70365,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Black Sea,,,,,,
21831,EMBLAS-II (Survey 2017),Real Sample,Seawater GE02,"Sun, 09/03/2017 - 22:00","Sun, 07/30/2017 - 22:00",11,Batumi,Georgia,41.65001,41.64504,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Black Sea,,,,,,
21832,EMBLAS-II (Survey 2017),Real Sample,Seawater GE01,"Sun, 09/03/2017 - 22:00","Sun, 07/30/2017 - 22:00",11,Batumi,Georgia,41.65658,41.63325,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Black Sea,,,,,,
21833,EMBLAS-II (Survey 2017),Real Sample,Seawater JOSS12,"Sun, 09/03/2017 - 22:00","Sun, 07/30/2017 - 22:00",11,Batumi,Georgia,41.78425,41.22119,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Black Sea,,,,,,
21834,EMBLAS-II (Survey 2017),Real Sample,Seawater JOSS11,"Sat, 09/02/2017 - 22:00","Sat, 07/29/2017 - 22:00",11,Batumi,Georgia,41.93758,40.82672,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Black Sea,,,,,,
21835,EMBLAS-II (Survey 2017),Real Sample,Seawater JOSS10,"Sat, 09/02/2017 - 22:00","Sat, 07/29/2017 - 22:00",11,Batumi,Georgia,42.10333,40.33652,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Black Sea,,,,,,
21836,EMBLAS-II (Survey 2017),Real Sample,Seawater JOSS09,"Sat, 09/02/2017 - 22:00","Sat, 07/29/2017 - 22:00",11,Batumi,Georgia,42.23916,39.88277,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Black Sea,,,,,,
21837,EMBLAS-II (Survey 2017),Real Sample,Seawater JOSS08,"Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",11,Odesa,Ukraine,43.52027,36.0595,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Black Sea,,,,,,
21838,EMBLAS-II (Survey 2017),Real Sample,Seawater JOSS07,"Thu, 08/31/2017 - 22:00","Thu, 07/27/2017 - 22:00",11,Odesa,Ukraine,43.38047,34.12998,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Black Sea,,,,,,
21839,EMBLAS-II (Survey 2017),Real Sample,Seawater JOSS06,"Thu, 08/31/2017 - 22:00","Thu, 07/27/2017 - 22:00",11,Odesa,Ukraine,43.41397,32.86744,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Black Sea,,,,,,
21840,EMBLAS-II (Survey 2017),Real Sample,Seawater JOSS05,"Wed, 08/30/2017 - 22:00","Wed, 07/26/2017 - 22:00",11,Odesa,Ukraine,43.39608,31.81213,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Black Sea,,,,,,
21841,EMBLAS-II (Survey 2017),Real Sample,Seawater JOSS04,"Wed, 08/30/2017 - 22:00","Wed, 07/26/2017 - 22:00",11,Odesa,Ukraine,44.11272,31.56897,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Black Sea,,,,,,
21842,EMBLAS-II (Survey 2017),Real Sample,Seawater JOSS03,"Tue, 08/29/2017 - 22:00","Tue, 07/25/2017 - 22:00",11,Odesa,Ukraine,44.85216,31.34205,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Black Sea,,,,,,
21843,EMBLAS-II (Survey 2017),Real Sample,Seawater JOSS02,"Tue, 08/29/2017 - 22:00","Tue, 07/25/2017 - 22:00",11,Odesa,Ukraine,45.2148,31.26566,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Black Sea,,,,,,
21844,EMBLAS-II (Survey 2017),Real Sample,Seawater JOSS01,"Mon, 08/28/2017 - 22:00","Mon, 07/24/2017 - 22:00",11,Odesa,Ukraine,46.3863,31.02075,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Black Sea,,,,,,
21845,EMBLAS-II (Survey 2017),Real Sample,Seawater A-1',"Sat, 08/26/2017 - 22:00","Sat, 07/22/2017 - 22:00",11,Tulcea,Romania,45.175,29.37,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Black Sea,,,,,,
21846,EMBLAS-II (Survey 2017),Real Sample,Seawater A-1,"Sat, 08/26/2017 - 22:00","Sat, 07/22/2017 - 22:00",11,Tulcea,Romania,45.13869,29.16975,,,,,,,,,,Black Sea,,,,,,,surface-water,,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Black Sea,,,,,,
21783,EMBLAS-II (Survey 2017),Blank Sample,Sediment Reagent Blank,"Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",10,Odesa,Ukraine,43.52027,36.0595,,,,,,,,,,Black Sea,,,,,,,sediment,,,,,2200.0,,,,,Spot sampling,Black Sea,(Whole) Fraction < 2mm,,,
21784,EMBLAS-II (Survey 2017),Real Sample,Sediment JOSS08,"Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",10,Odesa,Ukraine,43.52027,36.0595,,,,,,,,,,Black Sea,,,,,,,sediment,,,,,2200.0,,,,,Spot sampling,Black Sea,(Whole) Fraction < 2mm,,,
21785,EMBLAS-II (Survey 2017),Real Sample,Sediment JOSS04,"Wed, 08/30/2017 - 22:00","Wed, 07/26/2017 - 22:00",10,Odesa,Ukraine,44.11272,31.56897,,,,,,,,,,Black Sea,,,,,,,sediment,,,,,1000.0,,,,,Spot sampling,Black Sea,(Whole) Fraction < 2mm,,,
21786,EMBLAS-II (Survey 2017),Real Sample,Sediment JOSS01,"Mon, 08/28/2017 - 22:00","Mon, 07/24/2017 - 22:00",10,Odesa,Ukraine,46.3863,31.02075,,,,,,,,,,Black Sea,,,,,,,sediment,,,,,50.0,,,,,Spot sampling,Black Sea,(Whole) Fraction < 2mm,,,
21787,EMBLAS-II (Survey 2017),Real Sample,Sediment A-1',"Sat, 08/26/2017 - 22:00","Sat, 07/22/2017 - 22:00",10,Tulcea,Romania,45.175,29.37,,,,,,,,,,Black Sea/Danube river,,,,,,,sediment,,,,,50.0,,,,,Spot sampling,Black Sea/Danube river,(Whole) Fraction < 2mm,,,
21788,EMBLAS-II (Survey 2017),Real Sample,Sediment A-1,"Sat, 08/26/2017 - 22:00","Sat, 07/22/2017 - 22:00",10,Tulcea,Romania,45.13869,29.16975,,,,,,,,,,Black Sea/Danube river,,,,,,,sediment,,,,,50.0,,,,,Spot sampling,Black Sea/Danube river,(Whole) Fraction < 2mm,,,
21820,EMBLAS-II (Survey 2017),Blank Sample,Sediment Reagent Blank,"Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",11,Odesa,Ukraine,43.52027,36.0595,,,,,,,,,,Black Sea,,,,,,,sediment,,,,,2200.0,,,,,Spot sampling,Black Sea,(Whole) Fraction < 2mm,,,
21821,EMBLAS-II (Survey 2017),Real Sample,Sediment JOSS08,"Fri, 09/01/2017 - 22:00","Fri, 07/28/2017 - 22:00",11,Odesa,Ukraine,43.52027,36.0595,,,,,,,,,,Black Sea,,,,,,,sediment,,,,,2200.0,,,,,Spot sampling,Black Sea,(Whole) Fraction < 2mm,,,
21822,EMBLAS-II (Survey 2017),Real Sample,Sediment JOSS04,"Wed, 08/30/2017 - 22:00","Wed, 07/26/2017 - 22:00",11,Odesa,Ukraine,44.11272,31.56897,,,,,,,,,,Black Sea,,,,,,,sediment,,,,,1000.0,,,,,Spot sampling,Black Sea,(Whole) Fraction < 2mm,,,
21823,EMBLAS-II (Survey 2017),Real Sample,Sediment JOSS01,"Mon, 08/28/2017 - 22:00","Mon, 07/24/2017 - 22:00",11,Odesa,Ukraine,46.3863,31.02075,,,,,,,,,,Black Sea,,,,,,,sediment,,,,,50.0,,,,,Spot sampling,Black Sea,(Whole) Fraction < 2mm,,,
21824,EMBLAS-II (Survey 2017),Real Sample,Sediment A-1',"Sat, 08/26/2017 - 22:00","Sat, 07/22/2017 - 22:00",11,Tulcea,Romania,45.175,29.37,,,,,,,,,,Black Sea/Danube river,,,,,,,sediment,,,,,50.0,,,,,Spot sampling,Black Sea/Danube river,(Whole) Fraction < 2mm,,,
21825,EMBLAS-II (Survey 2017),Real Sample,Sediment A-1,"Sat, 08/26/2017 - 22:00","Sat, 07/22/2017 - 22:00",11,Tulcea,Romania,45.13869,29.16975,,,,,,,,,,Black Sea/Danube river,,,,,,,sediment,,,,,50.0,,,,,Spot sampling,Black Sea/Danube river,(Whole) Fraction < 2mm,,,
